"store","websites","attribute_set","type","category_ids","sku","has_options","manufacturer","status","visibility","enable_googlecheckout","tax_class_id","price","special_price","weight","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","description","meta_keyword","short_description","special_from_date","special_to_date","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","c2c_couleur_pap","starnet_sku_updated","supplier","featured","msrp","custom_design","page_layout","msrp_enabled","msrp_display_actual_price_type","gift_message_available","custom_layout_update","news_from_date","news_to_date","custom_design_from","custom_design_to"
"admin","base","C2c_Couleur_pap","configurable","76","83452","1","Leg Avenue","Activé","Catalogue, Recherche","Oui","Aucun","30.0000","30.0000","0.0000","Jupon à pois","Jupon à pois","Jupon à pois","/3/8/382-573.jpg","/3/8/382-573-large.jpg","/3/8/382-573.jpg","jupon-pois","jupon-pois.html","Bloc après la colonne d'information","Jupon à pois","Jupon à pois","Jupon à pois"," ","","jupon à pois, leg avenue","<p><strong>Jupon</strong> à pois.</p>
<p>Marque:<strong> Leg Avenue</strong></p>","2013-03-08 15:53:57","2023-03-07 15:53:57","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","1","0","1","0.0000","1","0","0","0","1","Jupon à pois","0","configurable","","","","","","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","83452WHI","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","30.0000","30.0000","0.0000","Jupon à pois Couleur - Blanc","Jupon à pois","Jupon à pois","/3/8/382-573.jpg","/3/8/382-573-large.jpg","/3/8/382-573.jpg","jupon-pois-couleur-blanc","jupon-pois-couleur-blanc.html","Bloc après la colonne d'information","Jupon à pois","Jupon à pois","Jupon à pois"," ","","jupon à pois, leg avenue","<p><strong>Jupon</strong> à pois.</p>
<p>Marque:<strong> Leg Avenue</strong></p>","2013-03-08 15:53:59","2013-03-09 15:53:59","32.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Jupon à pois Couleur - Blanc","0","simple","","","Blanc","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","83452BLK","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","30.0000","30.0000","0.0000","Jupon à pois Couleur - Noir","Jupon à pois","Jupon à pois","/3/8/382-573.jpg","/3/8/382-573-large.jpg","/3/8/382-573.jpg","jupon-pois-couleur-noir","jupon-pois-couleur-noir.html","Bloc après la colonne d'information","Jupon à pois","Jupon à pois","Jupon à pois"," ","","jupon à pois, leg avenue","<p><strong>Jupon</strong> à pois.</p>
<p>Marque:<strong> Leg Avenue</strong></p>","2013-03-08 15:53:59","2013-03-09 15:53:59","30.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Jupon à pois Couleur - Noir","0","simple","","","Noir","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","83452PNK","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","30.0000","30.0000","0.0000","Jupon à pois Couleur - Rose","Jupon à pois","Jupon à pois","/3/8/382-573.jpg","/3/8/382-573-large.jpg","/3/8/382-573.jpg","jupon-pois-couleur-rose","jupon-pois-couleur-rose.html","Bloc après la colonne d'information","Jupon à pois","Jupon à pois","Jupon à pois"," ","","jupon à pois, leg avenue","<p><strong>Jupon</strong> à pois.</p>
<p>Marque:<strong> Leg Avenue</strong></p>","2013-03-08 15:53:59","2013-03-09 15:53:59","7.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Jupon à pois Couleur - Rose","0","simple","","","Rose","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","configurable","66","A1979","1","Leg Avenue","Activé","Catalogue, Recherche","Oui","Aucun","19.5000","19.5000","0.0000","Perruque Longue Fluo","Perruque Longue Fluo","Perruque Longue Fluo","/4/0/407-608.jpg","/4/0/407-608-large.jpg","/4/0/407-608.jpg","perruque-longue-fluo","perruque-longue-fluo.html","Bloc après la colonne d'information","Perruque Longue Fluo","Perruque Longue Fluo","Perruque Longue Fluo"," ","","perruque longue fluo","<p><strong>Perruque Longue Fluo</strong>.</p>
<p>Cheveux ondulés avec franges.</p>
<p>Longueur : sous poitrine</p>
<p>Marque <strong>Leg Avenue</strong></p>
<div class=""fa_contenu""><form action=""http://www.starnet-world.com/Perruque-Longue-Fluo-a4264.html"" method=""post"">
<div class=""fa_general"">
<div class=""fa_bloc-image""> </div>
</div>
</form></div>","2013-03-08 15:54:35","2023-03-07 15:54:35","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","1","0","1","0.0000","1","0","0","0","1","Perruque Longue Fluo","0","configurable","","","","","","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","A1979NBLUOS","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","19.5000","19.5000","0.0000","Perruque Longue Fluo Couleur - Bleu","Perruque Longue Fluo","Perruque Longue Fluo","/4/0/407-608.jpg","/4/0/407-608-large.jpg","/4/0/407-608.jpg","perruque-longue-fluo-couleur-bleu","perruque-longue-fluo-couleur-bleu.html","Bloc après la colonne d'information","Perruque Longue Fluo","Perruque Longue Fluo","Perruque Longue Fluo"," ","","perruque longue fluo","<p><strong>Perruque Longue Fluo</strong>.</p>
<p>Cheveux ondulés avec franges.</p>
<p>Longueur : sous poitrine</p>
<p>Marque <strong>Leg Avenue</strong></p>
<div class=""fa_contenu""><form action=""http://www.starnet-world.com/Perruque-Longue-Fluo-a4264.html"" method=""post"">
<div class=""fa_general"">
<div class=""fa_bloc-image""> </div>
</div>
</form></div>","2013-03-08 15:54:38","2013-03-09 15:54:38","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Perruque Longue Fluo Couleur - Bleu","0","simple","","","Bleu ","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","A1979NPNKOS","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","19.5000","19.5000","0.0000","Perruque Longue Fluo Couleur - Rose","Perruque Longue Fluo","Perruque Longue Fluo","/4/0/407-608.jpg","/4/0/407-608-large.jpg","/4/0/407-608.jpg","perruque-longue-fluo-couleur-rose","perruque-longue-fluo-couleur-rose.html","Bloc après la colonne d'information","Perruque Longue Fluo","Perruque Longue Fluo","Perruque Longue Fluo"," ","","perruque longue fluo","<p><strong>Perruque Longue Fluo</strong>.</p>
<p>Cheveux ondulés avec franges.</p>
<p>Longueur : sous poitrine</p>
<p>Marque <strong>Leg Avenue</strong></p>
<div class=""fa_contenu""><form action=""http://www.starnet-world.com/Perruque-Longue-Fluo-a4264.html"" method=""post"">
<div class=""fa_general"">
<div class=""fa_bloc-image""> </div>
</div>
</form></div>","2013-03-08 15:54:38","2013-03-09 15:54:38","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Perruque Longue Fluo Couleur - Rose","0","simple","","","Rose","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","configurable","76,87","2055","1","Leg Avenue","Activé","Catalogue, Recherche","Oui","Aucun","12.5000","12.5000","0.0000","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","/4/3/436-648.jpg","/4/3/436-648-large.jpg","/4/3/436-648.jpg","mitaines-courtes-t-te-de-mort","mitaines-courtes-t-te-de-mort.html","Bloc après la colonne d'information","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort"," ","","mitaines courtes tête de mort","<p><strong>Mitaines courtes Tête de Mort</strong>.</p>
<p>Existe en noir/blanc, noir/violet, noir/rose et noir/rouge</p>
<p><span class=""fa_desc_sup"">Composition : </span>80% Acrylique - 20% Spandex.</p>
<p>Marque <strong>Leg Avenue</strong></p>","2013-03-08 15:55:07","2023-03-07 15:55:07","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","1","1","0","1","0.0000","1","0","0","0","1","Mitaines courtes Tête de Mort","0","configurable","","","","","","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","2055BWHI","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","12.5000","12.5000","0.0000","Mitaines courtes Tête de Mort Couleur - Blanc","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","/4/3/436-648.jpg","/4/3/436-648-large.jpg","/4/3/436-648.jpg","mitaines-courtes-t-te-de-mort-couleur-blanc","mitaines-courtes-t-te-de-mort-couleur-blanc.html","Bloc après la colonne d'information","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort"," ","","mitaines courtes tête de mort","<p><strong>Mitaines courtes Tête de Mort</strong>.</p>
<p>Existe en noir/blanc, noir/violet, noir/rose et noir/rouge</p>
<p><span class=""fa_desc_sup"">Composition : </span>80% Acrylique - 20% Spandex.</p>
<p>Marque <strong>Leg Avenue</strong></p>","2013-03-08 15:55:10","2013-03-09 15:55:10","15.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Mitaines courtes Tête de Mort Couleur - Blanc","0","simple","","","Blanc","Oui","Starnet","","","","","","","","","","","",""
"admin","base","C2c_Couleur_pap","simple","","2055BPNK","0","Leg Avenue","Activé","Non visible individuellement","Oui","Aucun","12.5000","12.5000","0.0000","Mitaines courtes Tête de Mort Couleur - Rose","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","/4/3/436-648.jpg","/4/3/436-648-large.jpg","/4/3/436-648.jpg","mitaines-courtes-t-te-de-mort-couleur-rose","mitaines-courtes-t-te-de-mort-couleur-rose.html","Bloc après la colonne d'information","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort","Mitaines courtes Tête de Mort"," ","","mitaines courtes tête de mort","<p><strong>Mitaines courtes Tête de Mort</strong>.</p>
<p>Existe en noir/blanc, noir/violet, noir/rose et noir/rouge</p>
<p><span class=""fa_desc_sup"">Composition : </span>80% Acrylique - 20% Spandex.</p>
<p>Marque <strong>Leg Avenue</strong></p>","2013-03-08 15:55:10","2013-03-09 15:55:10","36.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Mitaines courtes Tête de Mort Couleur - Rose","0","simple","","","Rose","Oui","Starnet","","","","","","","","","","","",""
