"sku","ps_url","cost","supplier"
"53077","costume-/269-costume-de-princesse-indienne.html","44.340000","Starnet"
"53081","costume-/249-costume-charlotte-aux-fraises.html","38.230000","Starnet"
"53093","costume-/570-costume-reine-du-nil.html","55.820000","Starnet"
"53205","costume-/235-costume-gitane.html","42.060000","Starnet"
"53209","costume-/350-costume-pirate.html","34.990000","Starnet"
"6002","accesoires/594-bas-violine-emeraude.html","3.080000","Starnet"
"6008","accesoires/596-bas-fantaisie-bas-amour-de-rayures-noir-et-blanc.html","3.500000","Starnet"
"6110","accesoires/597-bas-fantaisie-bas-tiger-bas-raye-noir-et-blanc.html","2.840000","Starnet"
"6121","accesoires/598-bas-fantaisie-bas-blanc-pomme-empoisonnee.html","5.560000","Starnet"
"6214","accesoires/572-bas-jeux-de-cartes.html","7.290000","Starnet"
"6215","accesoires/599-bas-fantaisie-bas-jeux-de-cartes-suite-royale.html","3.240000","Starnet"
"6249","accesoires/600-bas-fantaisies-bas-noir-opaques-deco-noeud-et-pastille-rouge.html","5.670000","Starnet"
"6250","accesoires/601-bas-fantaisie-bas-blanc-deco-croix-rouge.html","4.060000","Starnet"
"6252","accesoires/559-bas-mes-jambes-sucrees.html","5.800000","Starnet"
"6290","accesoires/576-bas-lolita.html","5.670000","Starnet"
"6315","accesoires/557-bas-damier-et-coeurs.html","3.500000","Starnet"
"6320","accesoires/520-bas-arc-en-ciel.html","4.860000","Starnet"
"6622","accesoires/556-bas-pancartes.html","7.750000","Starnet"
"6675","home/413-bas-zombie.html","3.240000","Starnet"
"7049L","costume-/118-costume-gangster.html","15.750000","G2to"
"83008","costume-/271-costume-indienne.html","27.520000","Starnet"
"83035","costume-/400-costume-arbitre.html","23.330000","Starnet"
"83050","costume-/295-costume-d-infirmiere.html","26.760000","Starnet"
"83050","costume-/560-deguisement-infirmiere-sexy.html","26.760000","Starnet"
"83067","costume-/401-costume-arbitre.html","22.940000","Starnet"
"83086","costume-/340-costume-alice.html","24.500000","Starnet"
"83088","costume-/351-costume-pirate-barbare.html","29.160000","Starnet"
"83157","costume-/354-costume-pirate-sanguinaire.html","30.580000","Starnet"
"83157X","costume-/170-costume-pirate-sanguinaire.html","42.060000","Starnet"
"83183","costume-/288-costume-french-connection.html","28.430000","Starnet"
"83186","costume-/389-costume-epouvantail.html","36.700000","Starnet"
"83202","costume-/251-costume-poupee-de-chiffon.html","32.080000","Starnet"
"83219","costume-/307-costume-coccinelle.html","28.000000","Starnet"
"83219","costume-/561-costume-coccinelle-daisy.html","30.580000","Starnet"
"83272","costume-/150-costume-de-marinette.html","33.640000","Starnet"
"83311","costume-/378-costume-serveuse-allemande.html","27.950000","Starnet"
"83311X","costume-/172-costume-autrichienne.html","39.000000","Starnet"
"83319","costume-/253-costume-miss-framboise.html","36.290000","Starnet"
"83324","costume-/152-costume-de-marinette.html","33.640000","Starnet"
"83343","costume-/308-costume-abeille.html","28.000000","Starnet"
"83344","costume-/368-costume-gendarmette.html","36.700000","Starnet"
"83409","costume-/363-costume-joueuse-de-cartes.html","45.880000","Starnet"
"83409X","costume-/173-costume-joueuse-de-cartes.html","49.770000","Starnet"
"83422","costume-/366-costume-joueuse-chanceuse.html","41.600000","Starnet"
"83425","costume-/390-costume-de-vampire.html","54.600000","Starnet"
"83440X","costume-/174-costume-miss-kitty.html","49.770000","Starnet"
"83441","costume-/379-costume-de-domestique.html","34.000000","Starnet"
"83452","accesoires/382-jupon-a-pois.html","14.580000","Starnet"
"83486X","costume-/175-costume-gitane.html","44.960000","Starnet"
"83502X","costume-/176-costume-hippie.html","30.270000","Starnet"
"83542","costume-/277-costume-de-reine-de-beaute.html","25.900000","Starnet"
"83584","accesoires/364-jupon-gothique.html","24.300000","Starnet"
"83589","costume-/279-costume-elfe.html","29.970000","Starnet"
"83607","costume-/355-costume-pirate-.html","36.760000","Starnet"
"83615","costume-/341-costume-petit-chaperon-rouge.html","34.400000","Starnet"
"83616","costume-/342-costume-de-blanche-neige.html","29.820000","Starnet"
"83618","costume-/242-costume-nonne-sexy.html","27.300000","Starnet"
"83619","costume-/369-costume-officier-de-police.html","41.300000","Starnet"
"83620","costume-/290-costume-mafia.html","34.400000","Starnet"
"83622","costume-/391-costume-vampire-tentatrice.html","36.760000","Starnet"
"83623","costume-/564-combinaison-cat-woman.html","29.160000","Starnet"
"83624","costume-/380-costume-employee-de-maison.html","35.180000","Starnet"
"83625","costume-/358-costume-amirale-sexy.html","30.580000","Starnet"
"83628","costume-/257-costume-dorothy.html","27.300000","Starnet"
"83630","costume-/370-costume-swat.html","32.880000","Starnet"
"83632","costume-/392-costume-hocus-pocus.html","30.580000","Starnet"
"83636","costume-/343-costume-boucle-d-or.html","33.530000","Starnet"
"83638","costume-/153-costume-matelot.html","32.800000","Starnet"
"83645X","costume-/177-costume-abeille.html","38.700000","Starnet"
"83647","costume-/154-costume-marinette.html","33.640000","Starnet"
"83651","costume-/167-costume-dompteuse-sexy.html","35.330000","Starnet"
"83652X","costume-/178-costume-coccinelle.html","42.060000","Starnet"
"83654","costume-/258-costume-dorothy.html","19.440000","Starnet"
"83657","costume-/296-costume-d-infirmiere.html","32.120000","Starnet"
"83666","costume-/312-costume-leopard.html","38.240000","Starnet"
"83671","costume-/244-costume-voyante-sexy.html","35.180000","Starnet"
"83672","costume-/156-costume-commandante-us-navy.html","44.160000","Starnet"
"83672X","costume-/179-costume-commandante-us-navy.html","43.740000","Starnet"
