"active";"category_name";"reference";"name";"color";"description";"price";"quantity";"picture_link"
1;"Maillots de bain";"fleurbc-ML";"Maillot de bain 3 pièces ""Fleur"" bleu";"bleu";"Maillot de bain 3 pièces ""Fleur"" bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4276-6813-thickbox/maillot-de-bain-3-pieces-fleur-bleu.jpg"
1;"Maillots de bain";"fleurb-LXL";"Maillot de bain 3 pièces ""Fleur"" noir et bleu";"bleu";"Maillot de bain 3 pièces ""Fleur"" noir et bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4277-6816-thickbox/maillot-de-bain-3-pieces-fleur-noir-et-bleu.jpg"
1;"Maillots de bain";"fleurb-XLXXL";"Maillot de bain 3 pièces ""Fleur"" noir et bleu";"bleu";"Maillot de bain 3 pièces ""Fleur"" noir et bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4277-6816-thickbox/maillot-de-bain-3-pieces-fleur-noir-et-bleu.jpg"
1;"Maillots de bain";"fleurb-ML";"Maillot de bain 3 pièces ""Fleur"" noir et bleu";"bleu";"Maillot de bain 3 pièces ""Fleur"" noir et bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4277-6816-thickbox/maillot-de-bain-3-pieces-fleur-noir-et-bleu.jpg"
1;"Maillots de bain";"fleurj-LXL";"Maillot de bain 3 pièces ""Fleur"" parme et jaune";"parme";"Maillot de bain 3 pièces ""Fleur"" parme et jaune. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4278-6819-thickbox/maillot-de-bain-3-pieces-fleur-parme-et-jaune.jpg"
1;"Maillots de bain";"fleurj-XLXXL";"Maillot de bain 3 pièces ""Fleur"" parme et jaune";"parme";"Maillot de bain 3 pièces ""Fleur"" parme et jaune. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4278-6819-thickbox/maillot-de-bain-3-pieces-fleur-parme-et-jaune.jpg"
1;"Maillots de bain";"fleurj-ML";"Maillot de bain 3 pièces ""Fleur"" parme et jaune";"parme";"Maillot de bain 3 pièces ""Fleur"" parme et jaune. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4278-6819-thickbox/maillot-de-bain-3-pieces-fleur-parme-et-jaune.jpg"
1;"Maillots de bain";"balconnetb-LXL";"Maillot de bain 3 pièces ""Balconnet"" blanc";"blanc";"Maillot de bain 3 pièces balconnet blanc. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4279-6822-thickbox/maillot-de-bain-3-pieces-balconnet-blanc.jpg"
1;"Maillots de bain";"balconnetb-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" blanc";"blanc";"Maillot de bain 3 pièces balconnet blanc. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4279-6822-thickbox/maillot-de-bain-3-pieces-balconnet-blanc.jpg"
1;"Maillots de bain";"balconnetb-ML";"Maillot de bain 3 pièces ""Balconnet"" blanc";"blanc";"Maillot de bain 3 pièces balconnet blanc. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4279-6822-thickbox/maillot-de-bain-3-pieces-balconnet-blanc.jpg"
