"Ref. maitre";"Code article";"Designation";"Stock Starnet France";"Etat"
"1001";"1001QNUD";"Bas Voile Classiques Galbants Couleur : Chair / Taille : PS";"55";"disponible"
"1001";"1001QRED";"Bas Voile Classiques Galbants Couleur : Rouge / Taille : PS";"62";"disponible"
"1001";"1001QWHI";"Bas Voile Classiques Galbants Couleur : Blanc / Taille : PS";"0";"non_reconduit"
"1001";"1001RED";"Bas Voile Classiques Galbants Couleur : Rouge / Taille : OS";"37";"disponible"
"1001";"1001WHI";"Bas Voile Classiques Galbants Couleur : Blanc / Taille : OS";"116";"disponible"
"1003";"1003BRED";"Bas Passion Couleur : Noir/Rouge / Taille : OS";"0";"non_reconduit"
"1003";"1003RBLK";"Bas Passion Couleur : Rouge/Noir / Taille : OS";"0";"non_reconduit"
"1004";"1004BFUS";"Bas lycra Jarretières contrastées Couleur : Noir/Fuschia / Taille : OS";"0";"non_reconduit"
"1004";"1004QBFUS";"Bas lycra Jarretières contrastées Couleur : Noir/Fuschia / Taille : PS";"0";"non_reconduit"
"1004";"1004QRFUS";"Bas lycra Jarretières contrastées Couleur : Rouge/Rose / Taille : PS";"0";"non_reconduit"
"1005";"1005BLK";"Bas Tendance Rayures Couleur : Noir / Taille : OS";"0";"non_reconduit"
"1005";"1005LBL";"Bas Tendance Rayures Couleur : Bleu pâle / Taille : OS";"0";"non_reconduit"
"1005";"1005LPK";"Bas Tendance Rayures Couleur : Rose pâle / Taille : OS";"27";"promo30"
"1007";"1007NPNK";"Bas Rayures 2 tons Couleur : Chair/Rose / Taille : OS";"88";"disponible"
"1011";"1011BLK";"Bas Classique Mate Arabesques Couleur : Noir / Taille : OS";"0";"commande"
"1011";"1011LBLU";"Bas Classique Mate Arabesques Couleur : Bleu pâle / Taille : OS";"0";"non_reconduit"
"1011";"1011LPNK";"Bas Classique Mate Arabesques Couleur : Rose foncé / Taille : OS";"0";"non_reconduit"
"1011";"1011NPNK";"Bas Classique Mate Arabesques Couleur : Rose fluo / Taille : OS";"0";"non_reconduit"
"1011";"1011NUD";"Bas Classique Mate Arabesques Couleur : Chair / Taille : OS";"37";"disponible"
"1011";"1011QBLK";"Bas Classique Mate Arabesques Couleur : Noir / Taille : PS";"33";"disponible"
"1011";"1011QNUD";"Bas Classique Mate Arabesques Couleur : Chair / Taille : PS";"42";"disponible"
"1011";"1011QRED";"Bas Classique Mate Arabesques Couleur : Rouge / Taille : PS";"50";"disponible"
"1011";"1011QWHI";"Bas Classique Mate Arabesques Couleur : Blanc / Taille : PS";"37";"disponible"
"1011";"1011RED";"Bas Classique Mate Arabesques Couleur : Rouge / Taille : OS";"27";"disponible"
